parent_station,peak_service_trips,routes_served
101,92,1
103,100,1
104,98,1
106,100,1
107,99,1
108,100,1
109,100,1
110,101,1
111,102,1
112,101,1
113,102,1
114,100,1
115,108,1
116,110,1
117,109,1
118,110,1
119,110,1
120,254,"1,2,3"
121,110,1
122,110,1
123,253,"1,2,3"
124,110,1
125,110,1
126,111,1
127,254,"1,2,3"
128,253,"1,2,3"
129,111,1
130,112,1
131,110,1
132,255,"1,2,3"
133,111,1
134,111,1
135,112,1
136,111,1
137,254,"1,2,3"
138,110,1
139,110,1
142,110,1
201,65,2
204,84,"2,5"
205,84,"2,5"
206,86,"2,5"
207,86,"2,5"
208,86,"2,5"
209,86,"2,5"
210,87,"2,5"
211,87,"2,5"
212,90,"2,5"
213,146,"2,5"
214,97,"2,5"
215,96,"2,5"
216,97,"2,5"
217,97,"2,5"
218,96,"2,5"
219,98,"2,5"
220,99,"2,5"
221,152,"2,5"
222,151,"2,5"
224,141,"2,3"
225,142,"2,3"
226,144,"2,3"
227,143,"2,3"
228,145,"2,3"
229,146,"2,3"
230,144,"2,3"
231,146,"2,3"
232,144,"2,3"
233,143,"2,3"
234,310,"2,3,4,5"
235,309,"2,3,4,5"
236,143,"2,3"
237,142,"2,3"
238,143,"2,3"
239,308,"2,3,4,5"
241,132,"2,5"
242,134,"2,5"
243,134,"2,5"
244,133,"2,5"
245,133,"2,5"
246,133,"2,5"
247,133,"2,5"
248,70,"2,3"
249,71,"2,3"
250,173,"2,3,4,5"
251,72,"2,3,4,5"
252,72,"2,3,4,5"
253,71,"2,3,4,5"
254,69,"2,3,4,5"
255,72,"2,3,4,5"
256,72,"2,3,4,5"
257,70,"2,3,4,5"
301,66,3
302,68,3
401,76,4
402,77,4
405,84,4
406,85,4
407,86,4
408,84,4
409,85,4
410,86,4
411,85,4
412,83,4
413,85,4
414,84,4
415,87,4
416,120,"4,5"
418,174,"4,5"
419,174,"4,5"
420,171,"4,5"
423,165,"4,5"
501,52,5
502,53,5
503,53,5
504,53,5
505,53,5
601,68,"6,6X"
602,69,"6,6X"
603,69,"6,6X"
604,68,"6,6X"
606,69,"6,6X"
607,70,"6,6X"
608,122,"6,6X"
609,84,6
610,84,6
611,85,6
612,85,6
613,124,"6,6X"
614,85,6
615,85,6
616,88,6
617,87,6
618,86,6
619,131,"6,6X"
621,297,"4,5,6,6X"
622,132,"6,6X"
623,132,"6,6X"
624,131,"6,6X"
625,133,"6,6X"
