station_complex_id,station_name,stop_lon,stop_lat,tract_geoid
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500
103,238 St,-73.90087,40.884667,36005028300
104,231 St,-73.904834,40.878856,36005028300
106,Marble Hill-225 St,-73.909831,40.874561,36061030900
107,215 St,-73.915279,40.869444,36061030300
108,207 St,-73.918822,40.864621,36061029300
109,Dyckman St,-73.925536,40.860531,36061028300
110,191 St,-73.929412,40.855225,36061027700
111,181 St,-73.933596,40.849505,36061026900
112,168 St-Washington Hts,-73.940133,40.840556,36061025100
113,157 St,-73.94489,40.834041,36061024100
114,145 St,-73.95036,40.826551,36061022900
115,137 St-City College,-73.953676,40.822008,36061022301
116,125 St,-73.958372,40.815581,36061021100
117,116 St-Columbia University,-73.96411,40.807722,36061020500
118,Cathedral Pkwy (110 St),-73.966847,40.803967,36061019500
119,103 St,-73.968379,40.799446,36061019100
120,96 St,-73.972323,40.793919,36061018300
121,86 St,-73.976218,40.788644,36061017500
122,79 St,-73.979917,40.783934,36061016700
123,72 St,-73.98197,40.778453,36061015900
124,66 St-Lincoln Center,-73.982209,40.77344,36061014900
125,59 St-Columbus Circle,-73.981929,40.768247,36061014500
126,50 St,-73.983849,40.761728,36061013100
127,Times Sq-42 St,-73.987495,40.75529,36061011300
128,34 St-Penn Station,-73.991057,40.750373,36061010100
129,28 St,-73.993365,40.747215,36061009500
130,23 St,-73.995657,40.744081,36061009100
131,18 St,-73.997871,40.74104,36061008100
132,14 St,-74.000201,40.737826,36061007100
133,Christopher St-Stonewall,-74.002906,40.733422,36061007300
134,Houston St,-74.005367,40.728251,36061003700
135,Canal St,-74.006277,40.722854,36061003700
136,Franklin St,-74.006886,40.719318,36061003300
137,Chambers St,-74.009266,40.715478,36061002100
138,WTC Cortlandt,-74.012188,40.711835,36061001300
139,Rector St,-74.013783,40.707513,36061001300
142,South Ferry,-74.013664,40.702068,36061000900
201,Wakefield-241 St,-73.85062,40.903125,36005043400
204,Nereid Av,-73.854376,40.898379,36005041800
205,233 St,-73.857473,40.893193,36005042200
206,225 St,-73.860341,40.888022,36005040800
207,219 St,-73.862633,40.883895,36005039200
208,Gun Hill Rd,-73.866256,40.87785,36005037800
209,Burke Av,-73.867164,40.871356,36005033602
210,Allerton Av,-73.867352,40.865462,36005033801
211,Pelham Pkwy,-73.867615,40.857192,36005022403
212,Bronx Park East,-73.868457,40.848828,36005022000
213,E 180 St,-73.873488,40.841894,36005022000
214,West Farms Sq-E Tremont Av,-73.880049,40.840295,36005036100
215,174 St,-73.887734,40.837288,36005016100
216,Freeman St,-73.891865,40.829993,36005012500
217,Simpson St,-73.893064,40.824073,36005015900
218,Intervale Av,-73.896736,40.822181,36005008700
219,Prospect Av,-73.90177,40.819585,36005007900
220,Jackson Av,-73.907807,40.81649,36005007500
221,3 Av-149 St,-73.917757,40.816109,36005006500
222,149 St-Grand Concourse,-73.926718,40.81841,36005005100
224,135 St,-73.94077,40.814229,36061022800
225,125 St,-73.945495,40.807754,36061020000
226,116 St,-73.949625,40.802098,36061019000
227,110 St-Malcolm X Plaza,-73.951822,40.799075,36061018600
228,Park Place,-74.008811,40.713051,36061002100
229,Fulton St,-74.006571,40.709416,36061001502
230,Wall St,-74.0091,40.706821,36061000700
231,Clark St,-73.993086,40.697466,36047000501
232,Borough Hall,-73.989998,40.693219,36047001100
233,Hoyt St,-73.985065,40.690545,36047001502
234,Nevins St,-73.980492,40.688246,36047003700
