tract_geoid,median_household_income,total_population,non_white_population,non_white_share,minority_majority,income_quartile
36005000200,115064.0,4870,4120,0.8459958932238193,True,Q4
36005000400,100553.0,6257,5467,0.8737414096212243,True,Q3
36005001600,41362.0,6177,5626,0.9107981220657277,True,Q1
36005001901,49500.0,2181,1715,0.786336542870243,True,Q1
36005001902,67375.0,1883,1629,0.865108868826341,True,Q2
36005002001,24684.0,4461,3896,0.8733467832324591,True,Q1
36005002300,19743.0,4528,4038,0.8917844522968198,True,Q1
36005002500,27378.0,5642,4591,0.8137185395249912,True,Q1
36005002701,21427.0,3335,3158,0.9469265367316342,True,Q1
36005002702,29206.0,5000,4786,0.9572,True,Q1
36005002800,64308.0,5230,4762,0.9105162523900574,True,Q2
36005003100,41370.0,2559,2125,0.8304025009769441,True,Q1
36005003300,24122.0,3559,3090,0.8682214105085698,True,Q1
36005003500,34185.0,3899,3226,0.8273916388817646,True,Q1
36005003800,88077.0,1182,716,0.6057529610829103,True,Q3
36005003900,20640.0,6227,5398,0.8668700819013971,True,Q1
36005004001,70536.0,1409,1204,0.8545067423704755,True,Q2
36005004100,27328.0,6583,5524,0.8391310952453289,True,Q1
36005004200,52423.0,8179,6716,0.8211272771732485,True,Q1
36005004300,34890.0,5627,4759,0.8457437355606895,True,Q1
36005004400,17319.0,4592,4147,0.9030923344947736,True,Q1
36005004600,17083.0,1763,1378,0.7816222348269994,True,Q1
36005004800,34436.0,4261,3875,0.9094109363999061,True,Q1
36005005001,34087.0,4565,4429,0.9702081051478642,True,Q1
36005005002,36598.0,6466,6269,0.969532941540365,True,Q1
36005005100,22850.0,6492,5803,0.8938693776956254,True,Q1
36005005200,29657.0,1931,1736,0.8990160538581046,True,Q1
36005005300,26437.0,5379,5008,0.9310280721323666,True,Q1
36005005400,48750.0,5715,5553,0.9716535433070866,True,Q1
36005005600,39572.0,2311,2228,0.9640848117697967,True,Q1
36005005902,48456.0,2938,2500,0.8509189925119128,True,Q1
36005006000,47375.0,1297,1032,0.7956823438704703,True,Q1
36005006100,66430.0,3868,3508,0.9069286452947259,True,Q2
36005006200,30236.0,6217,5678,0.9133022358050507,True,Q1
36005006301,55396.0,5845,4546,0.7777587681779299,True,Q1
36005006400,24730.0,3928,3563,0.9070773930753564,True,Q1
36005006500,22985.0,5627,3803,0.6758485871690065,True,Q1
36005006700,17390.0,6777,6680,0.9856868821012247,True,Q1
36005006800,29844.0,2493,2309,0.9261933413557962,True,Q1
36005006900,29627.0,7118,6381,0.8964596796853048,True,Q1
36005007000,57905.0,3869,3391,0.8764538640475575,True,Q2
36005007100,44792.0,2872,2614,0.9101671309192201,True,Q1
36005007200,63449.0,6176,5607,0.907869170984456,True,Q2
36005007300,28166.0,4444,3814,0.8582358235823583,True,Q1
36005007400,53166.0,3192,2783,0.8718671679197995,True,Q1
36005007500,34484.0,6670,5121,0.7677661169415292,True,Q1
36005007600,53784.0,5109,4707,0.9213153258954786,True,Q1
36005007700,48846.0,2166,1718,0.7931671283471837,True,Q1
36005007800,61328.0,6241,5270,0.8444159589809326,True,Q2
36005007900,34604.0,7086,6643,0.9374823595822749,True,Q1
36005008300,50920.0,6564,5927,0.9029555149299208,True,Q1
36005008400,67724.0,2811,2347,0.8349341871220206,True,Q2
36005008500,34543.0,5746,4913,0.8550295857988166,True,Q1
36005008600,23987.0,4304,3347,0.7776486988847584,True,Q1
36005008700,36402.0,6677,6107,0.9146323199041486,True,Q1
36005008900,41484.0,3239,2793,0.8623031799938252,True,Q1
36005009000,33831.0,3692,2902,0.78602383531961,True,Q1
36005009200,56208.0,5959,4999,0.8388991441517033,True,Q1
36005009301,47185.0,5066,4358,0.8602447690485591,True,Q1
36005009600,53333.0,2740,2270,0.8284671532846716,True,Q1
36005009800,56128.0,4715,3050,0.6468716861081655,True,Q1
36005011502,28592.0,4242,3956,0.9325789721829326,True,Q1
36005011701,33967.0,1509,1503,0.9960238568588469,True,Q1
36005011800,109396.0,5798,1715,0.2957916522938944,False,Q4
36005011900,34335.0,6159,5651,0.9175190777723656,True,Q1
36005012101,55000.0,3415,3144,0.9206442166910688,True,Q1
36005012102,43472.0,1337,1285,0.9611069558713538,True,Q1
36005012300,47402.0,4915,4477,0.9108850457782299,True,Q1
36005012500,51875.0,4030,3535,0.8771712158808933,True,Q1
36005012701,44667.0,2460,2113,0.8589430894308943,True,Q1
36005012901,40575.0,5469,4777,0.8734686414335344,True,Q1
36005013000,59083.0,1262,791,0.626782884310618,True,Q2
36005013100,17410.0,4822,3615,0.7496889257569473,True,Q1
36005013200,104651.0,7249,4853,0.6694716512622431,True,Q4
36005013300,34055.0,6038,5410,0.8959920503477973,True,Q1
36005013500,27602.0,3125,2607,0.83424,True,Q1
36005013800,84042.0,2969,1523,0.5129673290670259,True,Q3
36005014100,35506.0,7133,6454,0.9048086359175662,True,Q1
36005014300,16678.0,1715,1660,0.967930029154519,True,Q1
36005014400,29213.0,6253,5312,0.8495122341276188,True,Q1
36005014500,27352.0,6425,5802,0.9030350194552529,True,Q1
36005014701,25858.0,5645,4730,0.8379096545615589,True,Q1
36005014702,21196.0,5232,4573,0.8740443425076453,True,Q1
36005014900,41311.0,4917,4374,0.8895668090298963,True,Q1
36005015100,28618.0,5143,4634,0.9010305269298075,True,Q1
36005015200,77238.0,2666,1433,0.5375093773443361,True,Q2
36005015300,38862.0,4161,3916,0.9411199230954097,True,Q1
36005015500,37168.0,2943,2676,0.90927624872579,True,Q1
36005015700,39776.0,5520,5067,0.9179347826086957,True,Q1
36005015800,70357.0,1461,734,0.5023956194387406,True,Q2
36005015900,24485.0,2218,2125,0.9580703336339044,True,Q1
36005016000,96838.0,3903,1073,0.274916730719959,False,Q3
36005016100,22286.0,4490,3828,0.8525612472160357,True,Q1
36005016200,115278.0,1826,1078,0.5903614457831325,True,Q4
36005016400,66912.0,1029,463,0.4499514091350826,False,Q2
36005016500,46179.0,1134,1000,0.8818342151675485,True,Q1
36005016600,105764.0,2417,1761,0.7285891601158461,True,Q4
36005016700,41500.0,3599,3313,0.9205334815226451,True,Q1
36005016900,50107.0,1894,1813,0.957233368532207,True,Q1
36005017300,17446.0,6411,5430,0.8469817501169864,True,Q1
36005017500,26463.0,6116,5710,0.933616742969261,True,Q1
36005017701,30375.0,4717,4262,0.9035403858384566,True,Q1
36005017702,47963.0,5480,4917,0.8972627737226277,True,Q1
36005017901,47035.0,5096,4122,0.8088697017268446,True,Q1
36005017902,41475.0,3816,3375,0.8844339622641509,True,Q1
36005018102,33950.0,5453,5164,0.9470016504676325,True,Q1
36005018301,56508.0,4665,3743,0.802357984994641,True,Q1
36005018302,72540.0,3680,3501,0.9513586956521739,True,Q2
36005018400,117819.0,4085,2188,0.5356181150550796,True,Q4
